"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_symbol"
865.546429350194,-1.22559471789032,0.18628960988793,-6.5789751700464,4.73701861109658e-11,2.55433596831459e-10,"ENSG00000000971","CFH"
353.734748792111,-1.19408735848442,0.0848717054377065,-14.0693220706027,5.86287303770709e-45,3.64740905632241e-43,"ENSG00000001460","STPG1"
8865.69670607842,-1.9316397667527,0.169334937333566,-11.40721340303,3.84861793263271e-30,9.14510591198577e-29,"ENSG00000002726","AOC1"
102.075737096729,-1.31034927944032,0.211033473364185,-6.20920112127909,5.3254630525717e-10,2.57934086649312e-09,"ENSG00000003137","CYP26B1"
200.651965468352,-1.04836929206416,0.229524895550717,-4.56756244044342,4.93428715516647e-06,1.47357882751814e-05,"ENSG00000004468","CD38"
184.793028466477,-2.96627551729833,0.311718978423649,-9.51586436058101,1.80208450671107e-21,2.3719528596207e-20,"ENSG00000004776","HSPB6"
1025.34448879657,-3.33644418606385,0.196747823821103,-16.9579725013761,1.68043583828889e-64,3.10614022474485e-62,"ENSG00000004799","PDK4"
8.83415193869794,-3.07914154595487,0.433987317528741,-7.09500352104403,1.29348192278373e-12,8.167268760924e-12,"ENSG00000004846","ABCB5"
2.45507269120697,-1.27325794740543,0.396872118001674,-3.20823229864704,0.00133553577658783,0.00268132344660429,"ENSG00000004939","SLC4A1"
70.997786648602,-1.42347259013071,0.206997909798228,-6.8767486179848,6.12340242995245e-12,3.61416108726408e-11,"ENSG00000005102","MEOX1"
284.296587767811,-1.83379227726939,0.206643278311046,-8.87419272602279,7.04424863143448e-19,7.56297757980345e-18,"ENSG00000005249","PRKAR2B"
505.69783654449,-1.37889581626214,0.11388371781031,-12.1079276544071,9.58861775591199e-34,2.90050029002005e-32,"ENSG00000005469","CROT"
419.994919400819,-1.11961671397336,0.185564253226614,-6.03357971433252,1.60366825230898e-09,7.36545613385778e-09,"ENSG00000005844","ITGAL"
902.716785011185,-1.0533186651723,0.126500428815143,-8.32660153833579,8.31961852446485e-17,7.66693128979147e-16,"ENSG00000005882","PDK2"
34.5432119257466,-1.08632491241279,0.23686622422859,-4.58623814328386,4.51303807238807e-06,1.35366496153147e-05,"ENSG00000006016","CRLF1"
16.4025063510436,-1.96852799355115,0.291630674767135,-6.75007179928176,1.47772010709287e-11,8.38457865368945e-11,"ENSG00000006071","ABCC8"
1212.92600186723,-1.76366016300561,0.119477014355206,-14.7615018045416,2.59438671810725e-49,2.09111920652137e-47,"ENSG00000006555","TTC22"
624.66066143386,-2.26036230450095,0.170188167257396,-13.2815479532271,2.96206862070361e-40,1.39050857460551e-38,"ENSG00000006740","ARHGAP44"
715.685582492684,-2.75555570274569,0.219512838257657,-12.5530503118515,3.82486771852345e-36,1.34173986472693e-34,"ENSG00000006747","SCIN"
394.361781955233,-2.25676715029643,0.361573712597422,-6.24151333924303,4.33357472933004e-10,2.11867939494598e-09,"ENSG00000007216","SLC13A2"
694.519033152777,-1.56362142746488,0.175437122345044,-8.91271702684226,4.97969568374548e-19,5.41290245838175e-18,"ENSG00000007237","GAS7"
94.103131120326,-1.14251823321144,0.216972811929029,-5.26572072811203,1.39640426960836e-07,5.10386490670527e-07,"ENSG00000007264","MATK"
13666.003659826,-4.40575064889116,0.315849462469665,-13.9488939270058,3.19522195315111e-44,1.92248354354931e-42,"ENSG00000007306","CEACAM7"
63.3936657475599,-1.99433457815864,0.222385571793282,-8.96791352998597,3.02184132994196e-19,3.33756775674457e-18,"ENSG00000007312","CD79B"
10.5003064878384,-1.85658490374611,0.280422439217261,-6.62067168707455,3.57570344548131e-11,1.95083113904385e-10,"ENSG00000007314","SCN4A"
0.72607802882867,-2.3677609494674,0.674600803212783,-3.50986974547161,0.000448326255613998,0.000980143270191707,"ENSG00000008196","TFAP2B"
2243.43193027891,-1.04723526809016,0.130309447339501,-8.03652604988609,9.24213079615679e-16,7.82325413297754e-15,"ENSG00000008323","PLEKHG6"
17.3955323614104,-1.29626033641865,0.351613161116742,-3.686609262013,0.000227261891417887,0.000522080421805899,"ENSG00000009694","TENM1"
0.943636257896608,-1.98801389792371,0.443643927098069,-4.48110247091076,7.42584447147895e-06,2.1665005493622e-05,"ENSG00000010282","HHATL"
229.343947875965,-2.03968183406719,0.19362389040749,-10.5342467284103,6.00621980019687e-26,1.08719930630023e-24,"ENSG00000010319","SEMA3G"
1633.60840980222,-1.55384319007178,0.174320248634839,-8.91372747710292,4.93450190996684e-19,5.36681173783578e-18,"ENSG00000010327","STAB1"
1212.7547850888,-1.04712258876295,0.168896499693666,-6.19978857265932,5.65390614689317e-10,2.73085087474374e-09,"ENSG00000010610","CD4"
147.922587029834,-1.50738440437203,0.185586121192566,-8.12229058232191,4.57466421593102e-16,3.96309407638351e-15,"ENSG00000010671","BTK"
750.698384056043,-1.25469086601025,0.0865451124708003,-14.4975357959535,1.25577724446551e-47,9.09244213144358e-46,"ENSG00000011198","ABHD5"
7234.72152011137,-1.74554549517188,0.204633813130388,-8.53009318679733,1.46229876459936e-17,1.43567417269029e-16,"ENSG00000011465","DCN"
127.796568057778,-2.4198032725644,0.281033712589372,-8.61036652958448,7.28273468091183e-18,7.27648909243807e-17,"ENSG00000012124","CD22"
191.290597869689,-1.0578083804572,0.25044786259978,-4.22366703183887,2.40359081743292e-05,6.48907072241018e-05,"ENSG00000012223","LTF"
87.6141644473726,-3.91861143158436,0.370101937549145,-10.5879246607943,3.3902477440109e-26,6.24855489041165e-25,"ENSG00000012504","NR1H4"
10.963727251567,-3.5224502106872,0.451574765345241,-7.80036990772544,6.17259709579617e-15,4.86008274712421e-14,"ENSG00000013293","SLC7A14"
45.9318662923348,-2.15870202311125,0.249084830626849,-8.66653347648123,4.45475781626625e-18,4.4929715047741e-17,"ENSG00000013297","CLDN11"
248.198660864495,-1.0805716990116,0.168466184790284,-6.41417564217269,1.41586895306584e-10,7.29606133742427e-10,"ENSG00000015285","WAS"
5.86138439171752,-4.30588493299062,0.360730298796506,-11.9365768480114,7.62991395303682e-33,2.15696545406181e-31,"ENSG00000015592","STMN4"
14650.2029669373,-2.51601997754818,0.4575839754608,-5.49848795516599,3.83061700170526e-08,1.49579252350764e-07,"ENSG00000016490","CLCA1"
3934.65191329649,-5.43006096335566,0.438504361900102,-12.3831401353146,3.22474185672557e-35,1.0781013057872e-33,"ENSG00000016602","CLCA4"
28.6352806974911,-1.69298040374057,0.279018392961086,-6.06763011489599,1.29811442197183e-09,6.02833738151359e-09,"ENSG00000017427","IGF1"
62.9008689945513,-2.55171780112578,0.336199607620455,-7.58988928983666,3.20178933607343e-14,2.36229504133593e-13,"ENSG00000018236","CNTN1"
986.063764429241,-1.0478267026345,0.186409653534036,-5.62109677674595,1.8974893543077e-08,7.68652125224613e-08,"ENSG00000018408","WWTR1"
180.994918032044,-4.80642167421045,0.349188716170161,-13.7645389201759,4.16533194465625e-43,2.29433405839826e-41,"ENSG00000018625","ATP1A2"
15.6302403077015,-1.35198166140912,0.188618686922569,-7.16780337869776,7.62106488031286e-13,4.9352717105169e-12,"ENSG00000018869","ZNF582"
